ABF1	ACE2	ADR1	ARG80	ARG81	ARO80	ASH1	AZF1	BAS1	CAD1	CBF1	CHA4	CIN5	CRZ1	CUP9	DAL81	DAL82	DIG1	DOT6	ECM22	FHL1	FKH1	FKH2	FZF1	GAL4	GAT1	GAT3	GCN4	GCR1	GCR2	GLN3	GRF10.Pho2.	GTS1	HAA1	HAL9	HAP2	HAP3	HAP4	HAP5	HIR1	HIR2	HMS1	HSF1	IME4	INO2	INO4	IXR1	LEU3	MAC1	MAL13	MAL33	MATa1	MBP1	MCM1	MET31	MET4	MIG1	MOT3	MSN1	MSN2	MSN4	MSS11	MTH1	NDD1	NRG1	PDR1	PHD1	PHO4	PUT3	RAP1	RCS1	REB1	RFX1	RGM1	RGT1	RIM101	RLM1	RME1	ROX1	RPH1	RTG1	RTG3	RTS2	SFL1	SFP1	SIG1	SIP4	SKN7	SKO1	SMP1	SOK2	SRD1	STB1	STE12	STP1	STP2	SUM1	SWI4	SWI5	SWI6	THI2	UGA3	USV1	YAP1	YAP3	YAP5	YAP6	YAP7	YBR267W	YFL044C	YJL206C	ZAP1	ZMS1
YAL022C	0.81	0.19	6e-04	0.97	0.87	0.35	0.53	0.79	0.93	0.5	0.085	0.089	0.53	0.054	0.72	0.56	0.046	0.99	0.65	0.55	0.0015	0.59	0.036	8.1e-05	0.14	0.42	0.65	0.74	0.99	0.011	0.47	0.99	0.021	0.38	1	1	0.92	0.49	0.98	0.047	1	0.84	0.05	4.9e-09	0.84	0.52	0.92	0.99	0.0028	0.84	0.56	0.0044	0.4	0.71	0.66	0.49	0.11	0.83	0.92	0.2	0.65	0.87	0.17	0.43	5.1e-05	0.00081	0.99	0.4	0.6	0.7	0.043	0.79	0.58	0.1	0.66	0.14	1	0.96	0.48	0.56	0.054	0.95	0.92	0.85	0.00058	0.54	0.89	0.64	0.94	5.7e-05	0.96	0.017	0.0035	0.83	0.95	0.079	0.91	0.054	0.003	1	0.85	0.87	0.23	0.94	0.15	0.065	0.34	0.038	0.44	0.00047	0.25	0.97	0.85
YAL023C	0.00033	0.93	0.38	0.43	0.77	0.28	0.33	0.84	0.84	0.4	0.041	0.26	0.65	0.95	0.67	0.63	0.31	0.51	0.65	0.41	0.63	0.69	1	0.52	0.99	0.24	0.16	0.6	0.62	0.58	0.79	0.7	0.99	0.32	0.94	0.33	0.6	0.48	0.57	0.73	0.59	0.41	0.14	0.76	0.8	0.59	0.49	0.71	0.27	0.61	0.082	0.9	0.16	1	0.51	0.83	0.74	0.5	0.19	0.35	0.9	0.74	0.085	0.72	0.9	0.72	0.23	0.14	0.65	0.63	0.88	0.77	0.45	0.31	0.38	0.99	0.98	0.79	0.59	0.77	0.32	0.73	0.11	0.59	0.96	0.39	0.44	0.41	0.78	0.37	0.65	0.53	0.17	0.69	0.77	0.57	2.6e-05	0.56	0.57	1	0.9	0.55	0.57	0.85	0.21	0.4	0.79	0.2	0.31	0.8	0.9	0.79	0.17
YAL024C	0.49	0.56	0.64	0.57	0.79	0.55	0.035	0.92	0.68	0.33	0.031	0.53	0.7	0.65	0.75	0.96	0.22	0.71	1	0.46	0.7	0.21	6.8e-05	0.41	0.58	0.54	0.4	0.55	0.26	0.23	0.48	0.56	0.36	0.17	0.91	0.47	0.4	0.88	0.83	0.87	0.57	0.92	0.52	0.97	0.56	0.31	0.53	0.72	0.8	0.65	0.47	0.96	0.07	0.67	0.64	0.75	0.39	1	0.77	0.14	0.18	0.38	0.74	0.59	0.54	0.74	0.83	0.27	0.59	0.57	0.66	0.35	0.66	0.25	0.22	0.24	0.35	0.53	0.56	1	0.73	0.49	0.43	0.78	0.23	0.19	0.78	0.74	0.93	0.24	0.59	0.41	0.072	0.75	0.42	0.97	0.43	0.016	0.43	1	0.28	0.34	0.58	0.13	0.1	0.36	0.55	0.14	0.16	0.85	0.83	0.18	0.59
YAL025C	0.29	0.73	0.33	0.23	0.28	0.44	0.88	0.9	0.45	0.67	0.7	0.67	0.61	0.54	0.53	0.5	0.66	0.18	0.39	0.68	0.42	0.88	1	0.47	0.36	0.76	0.62	0.13	0.69	0.4	0.37	0.44	0.44	0.63	0.76	0.9	0.38	0.33	0.41	0.39	0.69	0.38	0.39	0.19	0.78	0.79	0.54	0.48	0.88	0.74	0.47	0.43	0.42	0.56	0.27	0.44	0.45	0.42	0.79	0.16	0.89	0.063	0.72	0.82	0.19	0.34	0.21	0.34	0.64	0.78	0.3	0.31	0.38	0.59	0.53	0.88	0.37	0.8	0.48	0.98	0.14	0.28	0.17	0.023	0.91	0.073	0.32	0.55	0.014	0.49	0.53	0.28	0.96	0.16	0.43	0.24	0.3	0.77	0.6	1	0.36	0.9	0.013	0.66	0.56	0.84	0.5	0.4	0.47	0.42	0.35	0.44	0.39
YAL026C	0.54	0.73	0.42	0.42	0.53	0.98	0.47	0.55	0.57	0.4	0.00077	0.79	0.7	0.48	0.7	0.78	0.53	0.32	0.32	0.18	0.43	0.98	0.62	0.53	0.89	0.38	0.34	0.53	0.51	0.76	0.42	0.38	0.43	0.95	0.47	0.39	0.4	0.46	0.26	0.45	0.81	0.57	0.23	0.54	0.13	0.1	0.84	0.52	0.49	0.12	0.033	0.13	0.67	0.4	0.69	0.4	0.4	0.51	0.42	0.13	0.2	0.43	0.36	0.35	0.89	0.87	0.77	0.11	0.45	0.65	0.85	0.4	0.28	0.46	0.87	0.18	0.77	0.68	0.51	0.65	0.91	0.45	0.75	0.14	0.92	0.3	0.41	0.69	0.35	0.42	0.31	0.58	0.93	0.87	0.52	0.24	0.37	0.88	0.79	1	0.7	0.68	0.096	0.24	0.28	0.54	0.67	0.41	0.86	0.62	0.27	0.32	0.72
YAL027W	1	0.92	0.31	0.66	0.27	0.36	1	0.53	0.15	1	1	1	0.32	0.0023	1	0.58	1	0.53	1	1	1	0.4	0.34	1	0.48	1	1	0.076	0.28	1	0.025	0.41	0.41	1	1	0.19	0.006	0.63	0.57	0.29	1	1	0.84	1	0.45	1	1	0.57	0.78	1	1	1	0.15	1	0.72	0.63	1	1	1	0.4	1	1	1	0.65	1	1	0.55	1	1	1	0.15	0.17	1	1	1	1	1	1	0.69	1	1	1	1	1	1	1	1	1	1	1	1	1	0.34	0.55	0.49	1	1	0.61	0.41	1	1	1	1	0.6	1	1	0.68	1	1	1	1	1	1
YAL028W	0.81	0.91	0.65	0.24	0.35	0.65	0.88	0.49	0.26	0.7	0.67	0.57	0.47	0.93	0.081	0.55	0.78	0.14	0.26	0.24	0.63	0.31	4.4e-07	0.59	0.69	0.57	0.51	0.19	0.94	0.56	0.43	0.64	0.078	0.89	0.062	0.33	0.45	0.084	0.051	0.62	0.85	0.15	0.61	0.36	0.79	0.62	0.27	0.0089	0.69	0.52	0.44	0.34	0.41	0.68	0.13	0.79	0.012	0.83	0.77	0.1	0.81	0.45	0.64	0.036	0.48	0.65	0.48	0.35	0.52	0.83	0.6	0.41	0.63	0.48	0.47	0.64	0.11	0.18	0.31	1	0.0011	0.0028	0.87	0.8	0.49	0.4	0.33	0.45	0.45	0.55	0.8	0.26	0.98	0.013	0.086	0.24	0.83	0.86	0.69	0.34	0.44	0.91	0.005	0.55	0.78	0.86	0.74	0.79	0.93	0.45	0.1	0.95	0.34
YAL029C	0.81	0.91	0.65	0.24	0.35	0.65	0.88	0.49	0.26	0.7	0.67	0.57	0.47	0.93	0.081	0.55	0.78	0.14	0.26	0.24	0.63	0.31	4.4e-07	0.59	0.69	0.57	0.51	0.19	0.94	0.56	0.43	0.64	0.078	0.89	0.062	0.33	0.45	0.084	0.051	0.62	0.85	0.15	0.61	0.36	0.79	0.62	0.27	0.0089	0.69	0.52	0.44	0.34	0.41	0.68	0.13	0.79	0.012	0.83	0.77	0.1	0.81	0.45	0.64	0.036	0.48	0.65	0.48	0.35	0.52	0.83	0.6	0.41	0.63	0.48	0.47	0.64	0.11	0.18	0.31	1	0.0011	0.0028	0.87	0.8	0.49	0.4	0.33	0.45	0.45	0.55	0.8	0.26	0.98	0.013	0.086	0.24	0.83	0.86	0.69	0.34	0.44	0.91	0.005	0.55	0.78	0.86	0.74	0.79	0.93	0.45	0.1	0.95	0.34
YAL030W	0.17	0.58	0.16	0.45	0.67	0.082	0.55	0.8	0.27	0.27	0.032	0.4	0.12	0.21	0.17	0.95	0.061	0.56	0.41	0.57	0.066	0.45	0.47	0.73	0.64	0.12	0.4	0.18	0.67	0.72	0.91	0.19	0.99	0.12	0.18	0.53	0.28	0.15	0.66	0.65	0.9	0.25	0.76	0.17	0.94	0.71	0.49	0.75	0.87	0.39	0.39	0.96	0.43	0.66	0.64	0.72	0.26	0.35	0.43	0.12	0.97	1	0.48	0.56	0.2	0.078	0.51	0.45	0.26	0.56	0.48	0.00052	0.4	0.47	0.42	0.66	0.22	0.76	0.58	0.43	0.21	0.82	0.44	0.89	0.87	1	0.63	0.21	1	0.03	1	0.38	0.95	0.64	0.85	0.67	0.4	1	1	0.077	0.89	0.74	0.36	0.77	0.74	0.55	0.25	0.33	0.2	0.39	0.21	0.48	0.78
YAL031C	0.17	0.58	0.16	0.45	0.67	0.082	0.55	0.8	0.27	0.27	0.032	0.4	0.12	0.21	0.17	0.95	0.061	0.56	0.41	0.57	0.066	0.45	0.47	0.73	0.64	0.12	0.4	0.18	0.67	0.72	0.91	0.19	0.99	0.12	0.18	0.53	0.28	0.15	0.66	0.65	0.9	0.25	0.76	0.17	0.94	0.71	0.49	0.75	0.87	0.39	0.39	0.96	0.43	0.66	0.64	0.72	0.26	0.35	0.43	0.12	0.97	1	0.48	0.56	0.2	0.078	0.51	0.45	0.26	0.56	0.48	0.00052	0.4	0.47	0.42	0.66	0.22	0.76	0.58	0.43	0.21	0.82	0.44	0.89	0.87	1	0.63	0.21	1	0.03	1	0.38	0.95	0.64	0.85	0.67	0.4	1	1	0.077	0.89	0.74	0.36	0.77	0.74	0.55	0.25	0.33	0.2	0.39	0.21	0.48	0.78
YAL032C	0.32	0.21	0.088	0.82	0.48	0.32	0.18	0.13	0.53	0.095	0.37	0.63	0.8	0.12	0.45	0.77	0.87	0.49	0.58	0.094	0.53	0.37	0.44	0.81	0.31	0.26	0.2	0.32	0.32	0.82	0.95	0.84	0.95	0.53	0.23	0.42	0.93	0.84	0.38	0.57	0.66	0.68	0.076	0.5	0.48	0.34	0.96	0.62	0.55	0.074	0.59	0.92	0.52	0.74	0.66	0.72	0.029	0.23	0.72	0.41	0.48	0.73	0.15	0.29	0.86	0.81	0.55	0.26	0.33	0.47	0.43	0.85	0.41	0.18	0.95	0.96	0.99	0.2	0.14	0.65	0.76	0.89	0.18	0.93	0.94	0.61	0.62	0.36	0.48	0.35	0.63	0.95	0.97	0.86	0.85	0.69	0.49	0.21	0.34	1	0.98	0.41	0.62	0.23	0.38	0.17	0.77	0.22	0.4	0.07	0.19	0.26	0.053
YAL033W	0.66	0.3	0.17	0.56	0.53	0.82	0.12	0.39	0.55	0.8	0.46	0.56	0.77	0.29	0.79	0.82	0.37	0.63	0.45	0.54	0.59	0.22	0.58	0.6	0.53	0.021	0.21	0.37	0.46	0.6	0.76	0.99	0.76	0.97	0.75	0.79	0.92	0.43	0.7	0.63	0.98	0.96	0.081	0.27	0.25	0.42	0.98	0.84	0.18	0.05	0.041	0.76	0.86	1	0.84	0.45	0.29	0.72	0.38	0.86	0.58	0.91	0.0084	0.3	0.81	0.53	0.78	0.13	0.14	0.00011	0.76	0.78	0.83	0.063	0.64	0.42	0.91	0.86	0.015	0.72	0.46	0.66	0.58	0.47	0.14	0.59	0.65	0.56	0.9	0.4	0.88	0.65	0.95	0.35	0.91	0.84	0.97	0.67	0.5	1	0.79	0.18	0.58	0.69	0.25	0.56	0.9	0.27	0.98	0.27	0.62	0.85	0.49
YAL034C	0.66	0.3	0.17	0.56	0.53	0.82	0.12	0.39	0.55	0.8	0.46	0.56	0.77	0.29	0.79	0.82	0.37	0.63	0.45	0.54	0.59	0.22	0.58	0.6	0.53	0.021	0.21	0.37	0.46	0.6	0.76	0.99	0.76	0.97	0.75	0.79	0.92	0.43	0.7	0.63	0.98	0.96	0.081	0.27	0.25	0.42	0.98	0.84	0.18	0.05	0.041	0.76	0.86	1	0.84	0.45	0.29	0.72	0.38	0.86	0.58	0.91	0.0084	0.3	0.81	0.53	0.78	0.13	0.14	0.00011	0.76	0.78	0.83	0.063	0.64	0.42	0.91	0.86	0.015	0.72	0.46	0.66	0.58	0.47	0.14	0.59	0.65	0.56	0.9	0.4	0.88	0.65	0.95	0.35	0.91	0.84	0.97	0.67	0.5	1	0.79	0.18	0.58	0.69	0.25	0.56	0.9	0.27	0.98	0.27	0.62	0.85	0.49
YAL034W-A	0.36	0.2	0.36	0.67	0.83	0.62	0.094	0.034	0.35	0.61	0.13	0.56	0.48	0.77	0.14	0.61	0.21	0.63	0.44	0.17	0.28	1	0.43	0.87	0.66	0.1	0.23	0.16	0.36	0.8	0.99	0.96	0.76	0.8	0.81	0.5	0.89	0.99	0.53	0.56	0.95	0.76	0.23	0.21	0.75	0.52	0.77	0.82	0.16	0.072	0.19	0.45	0.73	0.85	0.14	0.68	0.21	0.69	0.22	0.46	0.41	0.67	0.05	0.27	0.71	0.84	0.28	0.65	0.54	0.42	0.67	0.79	0.68	0.14	0.39	0.96	0.98	0.25	0.036	0.68	0.87	0.65	0.39	0.28	0.9	0.18	0.24	0.37	0.54	0.25	0.61	0.89	0.22	0.82	0.56	0.61	0.86	0.67	0.42	1	0.6	0.83	0.52	0.72	0.29	0.46	0.59	0.33	0.34	0.23	0.01	0.36	0.7
YAL035C-A	0.32	0.67	0.48	0.91	0.52	0.47	0.32	0.68	0.21	0.37	0.12	0.33	0.56	0.49	0.73	0.83	0.29	0.67	0.37	0.28	0.55	0.38	0.7	0.23	0.27	0.22	0.24	0.55	0.44	0.45	0.79	0.67	0.67	0.039	0.44	0.5	0.76	0.62	0.8	0.88	0.48	0.47	0.43	0.68	0.42	0.93	0.43	0.76	0.76	0.47	0.058	0.91	0.66	1	0.052	0.8	0.018	0.21	0.37	0.36	0.76	0.11	0.38	0.68	0.58	0.76	0.7	0.26	0.77	0.3	0.5	0.93	0.75	0.41	0.1	0.68	0.76	0.83	0.86	1	0.49	0.72	0.11	0.43	0.96	0.35	0.52	0.65	0.39	0.66	0.48	0.28	0.5	0.64	0.42	0.8	0.59	1	1	0.46	0.33	0.24	0.31	0.71	0.15	0.29	0.9	0.27	0.049	0.93	0.9	0.13	0.8
YAL035W	0.36	0.2	0.36	0.67	0.83	0.62	0.094	0.034	0.35	0.61	0.13	0.56	0.48	0.77	0.14	0.61	0.21	0.63	0.44	0.17	0.28	1	0.43	0.87	0.66	0.1	0.23	0.16	0.36	0.8	0.99	0.96	0.76	0.8	0.81	0.5	0.89	0.99	0.53	0.56	0.95	0.76	0.23	0.21	0.75	0.52	0.77	0.82	0.16	0.072	0.19	0.45	0.73	0.85	0.14	0.68	0.21	0.69	0.22	0.46	0.41	0.67	0.05	0.27	0.71	0.84	0.28	0.65	0.54	0.42	0.67	0.79	0.68	0.14	0.39	0.96	0.98	0.25	0.036	0.68	0.87	0.65	0.39	0.28	0.9	0.18	0.24	0.37	0.54	0.25	0.61	0.89	0.22	0.82	0.56	0.61	0.86	0.67	0.42	1	0.6	0.83	0.52	0.72	0.29	0.46	0.59	0.33	0.34	0.23	0.01	0.36	0.7
YAL036C	0.36	0.2	0.36	0.67	0.83	0.62	0.094	0.034	0.35	0.61	0.13	0.56	0.48	0.77	0.14	0.61	0.21	0.63	0.44	0.17	0.28	1	0.43	0.87	0.66	0.1	0.23	0.16	0.36	0.8	0.99	0.96	0.76	0.8	0.81	0.5	0.89	0.99	0.53	0.56	0.95	0.76	0.23	0.21	0.75	0.52	0.77	0.82	0.16	0.072	0.19	0.45	0.73	0.85	0.14	0.68	0.21	0.69	0.22	0.46	0.41	0.67	0.05	0.27	0.71	0.84	0.28	0.65	0.54	0.42	0.67	0.79	0.68	0.14	0.39	0.96	0.98	0.25	0.036	0.68	0.87	0.65	0.39	0.28	0.9	0.18	0.24	0.37	0.54	0.25	0.61	0.89	0.22	0.82	0.56	0.61	0.86	0.67	0.42	1	0.6	0.83	0.52	0.72	0.29	0.46	0.59	0.33	0.34	0.23	0.01	0.36	0.7
YAL037W	0.6	0.69	0.69	0.39	0.21	0.2	0.96	0.0067	0.48	0.42	0.91	0.073	1.2e-08	0.28	0.57	0.45	0.95	0.39	0.31	0.85	0.83	1	0.53	0.14	0.25	0.73	0.69	0.72	0.1	0.095	0.34	0.73	0.056	0.93	0.2	0.91	0.21	0.34	0.4	0.46	0.013	0.62	0.91	0.3	0.61	0.45	0.87	0.53	0.57	0.98	0.95	0.01	0.28	1	0.13	0.94	0.99	0.028	0.95	0.33	0.35	0.87	0.77	0.13	0.068	0.49	0.13	0.58	0.87	0.59	0.26	0.38	0.15	0.7	0.87	0.12	0.14	0.28	0.059	0.38	0.75	0.61	0.42	0.017	0.15	0.83	0.97	0.59	0.9	0.2	0.53	0.18	0.93	0.29	0.3	0.58	0.011	0.32	0.77	1	0.38	0.42	0.53	0.017	0.96	0.076	0.021	0.94	0.96	0.27	0.56	0.047	0.99
YAL038W	1	0.39	0.98	0.45	0.82	0.92	1	0.21	0.088	1	1	1	0.086	0.84	1	0.31	1	0.27	0.98	1	1	1	0.015	1	0.81	1	1	0.56	1.2e-06	1	0.75	1	0.84	1	1	0.5	0.64	0.92	0.89	0.45	1	1	0.014	1	0.2	1	1	0.56	0.63	0.083	1	0.6	0.42	0.0059	0.51	0.46	1	0.45	0.32	0.48	1	1	1	0.46	1	1	0.027	0.45	1	1	0.92	0.84	1	1	1	1	1	1	0.29	0.043	1	1	1	1	1	1	0.89	0.54	1	1	1	1	1	0.47	0.54	0.64	1	0.14	0.38	0.72	1	1	1	0.37	0.78	1	0.24	1	1	1	1	1	1
YAL039C	1	0.87	0.75	0.84	0.86	0.59	1	0.055	0.32	1	1	1	0.59	0.75	1	0.52	1	0.74	0.44	1	1	0.59	0.19	1	0.44	1	1	0.59	0.095	1	0.7	1	0.79	1	1	0.47	0.54	0.9	0.85	0.36	1	1	0.32	1	0.17	1	1	0.88	0.56	0.68	1	0.45	0.92	0.72	0.17	0.16	1	0.064	0.29	0.78	0.61	1	1	0.55	1	1	0.35	1	1	1	0.93	0.56	1	1	1	1	1	1	0.12	0.13	1	1	1	1	1	1	0.76	1	1	0.78	1	1	1	0.86	0.43	0.65	1	0.36	0.57	0.81	1	1	1	0.056	0.48	1	0.56	1	1	1	1	1	1
YAL040C	0.44	0.042	0.99	0.92	0.9	0.59	0.019	0.35	0.82	1	0.21	0.99	0.3	0.84	0.56	0.69	0.71	0.85	0.94	0.41	0.56	0.31	0.46	0.66	0.77	0.36	0.59	0.94	0.74	0.58	0.97	0.87	0.72	0.98	0.2	0.88	0.98	0.71	0.59	0.6	0.67	0.65	0.022	0.75	0.55	0.12	0.012	0.93	0.49	0.37	0.24	0.55	0.35	2.4e-05	0.58	0.15	0.63	0.8	0.37	0.71	0.96	0.92	0.12	0.082	0.67	0.87	0.23	0.95	0.22	0.0037	0.98	0.98	0.73	0.098	0.94	0.71	0.12	0.73	0.27	0.93	0.53	0.81	0.99	0.69	0.6	0.96	0.96	0.45	0.95	0.4	0.79	0.4	0.86	0.25	0.47	0.85	0.98	0.046	0.026	0.044	0.99	0.97	0.76	0.72	0.77	0.95	0.43	0.54	0.96	0.84	0.88	0.96	0.052
YAL041W	0.00035	0.67	0.59	0.93	0.61	0.41	0.015	0.64	0.062	0.3	0.011	0.68	0.58	0.26	0.8	0.53	0.0093	0.32	0.77	0.092	0.24	0.98	0.83	0.89	1	0.14	0.095	0.72	0.41	0.32	0.59	0.87	0.78	0.2	0.57	0.27	0.98	0.51	0.52	0.84	0.6	0.82	0.35	0.56	0.16	0.55	0.66	0.67	0.017	0.4	0.0049	0.71	1	0.86	0.38	0.76	0.4	0.26	0.51	0.56	0.7	0.76	0.0037	0.26	0.7	0.54	0.56	0.24	0.35	0.47	0.63	0.81	0.35	0.046	0.66	0.85	0.49	0.58	0.69	1	0.39	0.36	0.16	0.26	0.53	0.44	0.53	0.35	0.5	0.21	0.77	0.55	0.19	0.64	0.63	0.71	0.69	1	1	0.9	0.35	0.62	0.28	0.91	0.24	0.21	0.47	0.18	0.19	0.36	0.78	0.9	0.021
YAL042W	0.00012	0.074	0.34	0.87	0.86	0.82	0.061	1	0.039	0.38	0.03	0.91	0.92	0.18	0.89	0.81	0.6	0.64	0.71	0.088	0.62	0.03	0.85	0.76	0.2	0.28	0.077	0.68	0.058	0.65	0.69	0.98	0.2	0.32	0.73	0.76	0.68	0.77	0.67	0.97	0.6	0.88	0.54	0.8	0.72	0.86	0.83	0.47	0.27	0.073	0.018	0.97	0.56	1	0.28	0.62	0.48	0.44	0.38	0.56	0.52	0.84	0.23	0.53	0.82	0.98	0.83	0.82	0.77	0.41	0.57	0.94	0.82	0.078	0.84	0.26	0.58	0.19	0.62	0.33	0.91	0.63	0.089	0.91	0.23	0.25	0.37	0.28	0.85	0.96	0.82	0.44	0.36	0.87	0.55	0.83	0.64	0.46	0.73	1	0.31	0.13	0.94	0.61	0.077	0.21	0.87	0.069	0.18	0.062	0.23	0.78	0.5
YAL043C	0.00012	0.074	0.34	0.87	0.86	0.82	0.061	1	0.039	0.38	0.03	0.91	0.92	0.18	0.89	0.81	0.6	0.64	0.71	0.088	0.62	0.03	0.85	0.76	0.2	0.28	0.077	0.68	0.058	0.65	0.69	0.98	0.2	0.32	0.73	0.76	0.68	0.77	0.67	0.97	0.6	0.88	0.54	0.8	0.72	0.86	0.83	0.47	0.27	0.073	0.018	0.97	0.56	1	0.28	0.62	0.48	0.44	0.38	0.56	0.52	0.84	0.23	0.53	0.82	0.98	0.83	0.82	0.77	0.41	0.57	0.94	0.82	0.078	0.84	0.26	0.58	0.19	0.62	0.33	0.91	0.63	0.089	0.91	0.23	0.25	0.37	0.28	0.85	0.96	0.82	0.44	0.36	0.87	0.55	0.83	0.64	0.46	0.73	1	0.31	0.13	0.94	0.61	0.077	0.21	0.87	0.069	0.18	0.062	0.23	0.78	0.5
YAL043C-A	0.00035	0.67	0.59	0.93	0.61	0.41	0.015	0.64	0.062	0.3	0.011	0.68	0.58	0.26	0.8	0.53	0.0093	0.32	0.77	0.092	0.24	0.98	0.83	0.89	1	0.14	0.095	0.72	0.41	0.32	0.59	0.87	0.78	0.2	0.57	0.27	0.98	0.51	0.52	0.84	0.6	0.82	0.35	0.56	0.16	0.55	0.66	0.67	0.017	0.4	0.0049	0.71	1	0.86	0.38	0.76	0.4	0.26	0.51	0.56	0.7	0.76	0.0037	0.26	0.7	0.54	0.56	0.24	0.35	0.47	0.63	0.81	0.35	0.046	0.66	0.85	0.49	0.58	0.69	1	0.39	0.36	0.16	0.26	0.53	0.44	0.53	0.35	0.5	0.21	0.77	0.55	0.19	0.64	0.63	0.71	0.69	1	1	0.9	0.35	0.62	0.28	0.91	0.24	0.21	0.47	0.18	0.19	0.36	0.78	0.9	0.021
YAL044C	0.25	1	0.24	0.5	0.83	0.32	0.3	0.44	6.7e-16	0.36	0.022	0.67	0.48	0.35	0.068	0.5	0.76	1	0.7	0.025	0.18	0.59	0.67	0.18	0.45	0.27	0.28	0.75	0.15	0.59	0.74	0.83	0.2	0.25	0.76	0.42	0.5	0.41	0.062	0.55	0.64	1	0.24	0.7	0.56	0.32	0.75	0.32	0.64	1	0.067	0.35	1	1	0.18	0.23	0.26	0.25	0.38	0.5	1	0.8	0.022	1	0.55	0.52	0.57	1	0.63	0.66	0.64	0.86	0.27	0.24	0.15	0.5	0.59	0.9	0.43	1	0.68	0.57	0.72	0.25	0.15	0.7	0.014	0.56	0.53	0.42	0.76	0.66	0.25	1	0.79	0.75	0.6	1	0.68	0.26	0.47	0.97	0.88	1	0.085	0.26	0.33	0.16	0.25	0.48	0.32	0.36	0.42
YAL045C	0.58	0.34	0.51	0.34	0.39	0.68	0.55	0.54	0.00017	0.06	0.33	0.22	0.75	0.5	0.72	0.86	0.11	0.64	0.46	0.082	0.71	1	0.96	0.39	0.19	0.36	0.55	0.19	0.21	0.95	0.91	0.95	0.21	0.088	0.72	0.59	0.57	0.91	0.5	0.95	0.44	0.97	0.13	0.38	0.52	0.9	0.86	0.91	0.99	0.29	0.018	0.86	1	0.76	0.62	0.72	0.99	0.22	0.66	0.77	0.76	0.93	1	0.45	0.38	0.92	0.65	0.63	0.66	0.64	0.95	0.86	1	0.12	0.45	0.44	0.54	0.49	0.8	1	1	0.84	0.072	0.091	0.98	0.58	0.74	0.36	0.69	0.93	0.74	0.73	0.39	0.68	0.7	0.85	0.42	0.24	0.5	1	0.88	0.88	0.21	0.49	0.06	0.25	0.65	0.051	0.1	0.0065	0.25	0.18	0.027
YAL046C	0.59	0.29	0.26	0.89	0.73	0.62	0.13	0.67	0.0055	0.39	0.084	0.34	0.93	1	0.94	0.98	0.26	0.61	0.81	0.33	0.7	0.57	1	0.47	0.35	0.12	0.26	0.48	0.46	0.4	0.55	0.88	0.12	0.09	0.81	0.45	0.79	0.92	0.61	0.81	0.8	0.51	0.21	0.64	0.34	0.9	0.59	0.9	0.56	0.68	0.22	0.93	1	0.86	0.76	0.92	0.6	0.41	0.62	0.95	0.83	0.87	0.31	0.48	0.33	0.67	0.77	0.41	0.88	0.58	0.47	0.84	0.66	0.088	0.17	0.27	0.59	0.94	0.73	1	0.57	0.5	0.48	0.82	0.22	0.63	0.15	0.42	0.84	0.78	0.84	0.41	0.16	0.67	0.48	0.9	0.84	1	0.73	0.78	0.064	0.49	0.24	0.91	0.11	0.38	0.79	0.093	0.14	0.62	0.51	0.5	0.17
YAL047C	0.48	0.16	0.49	0.56	0.44	0.12	0.45	0.73	0.084	0.12	0.13	0.76	0.69	0.14	0.52	0.68	0.25	0.81	0.37	0.13	0.44	0.2	0.83	0.23	0.42	0.041	0.47	0.57	0.24	0.02	0.89	0.98	0.14	0.2	0.96	0.94	0.5	0.82	0.63	0.71	0.77	0.63	0.29	0.053	0.75	0.92	0.57	0.66	0.96	1	0.035	1	0.7	0.85	0.79	0.31	0.81	0.45	0.91	0.8	0.58	0.75	0.4	0.45	0.88	0.19	0.79	1	0.81	0.75	0.66	0.91	0.61	0.14	0.59	0.51	0.38	0.53	0.7	0.11	0.9	0.95	0.22	0.77	1	0.63	0.058	0.38	0.2	0.91	0.81	0.84	1	0.62	0.48	1	0.7	0.45	0.51	1	0.9	0.89	0.53	0.66	0.12	0.37	0.82	0.05	0.22	1	1	0.16	0.078
YAL048C	0.77	0.37	0.04	0.68	0.62	0.39	0.71	0.53	0.23	0.15	0.57	1	0.73	1	0.8	0.95	0.83	0.49	0.24	0.3	0.7	0.18	1	0.15	0.94	0.84	0.62	0.62	0.34	1	0.33	0.51	0.26	0.1	0.43	0.92	0.22	0.7	0.5	0.89	0.51	0.43	0.58	0.47	0.44	0.94	0.89	0.42	0.96	1	0.84	0.89	1	1	0.58	0.71	0.8	0.034	0.18	0.66	1	0.68	1	0.63	0.28	0.36	0.64	1	0.71	0.095	0.87	0.36	1	1	0.029	0.42	0.36	0.97	0.85	1	0.45	0.89	0.26	0.7	0.93	0.34	0.6	0.54	0.48	0.85	0.13	0.38	0.34	0.63	0.14	0.89	0.29	1	1	0.52	0.81	0.41	0.32	0.49	1	0.15	0.83	1	0.028	0.13	0.44	0.03	0.21
